tempo_min,temperatura_C,radiacao_uSv_h,poeira_pct,consumo_W,bateria_pct,indice_risco_real,condicao_real,temp_norm,rad_norm,poeira_norm,V_entrada,ajuste,estado_memristor,LED,evento
0,22.6,0.27,11.5,18.5,99.1,0.06,NORMAL,0.014336917562724089,0.01739130434782609,0.0728476821192053,13.11532425768886,B_entrega,0.0,APAGADO,NORMAL
5,22.2,0.23,6.0,18.0,99.1,0.04,NORMAL,0.0,0.0,0.0,12.0,B_entrega,0.0,APAGADO,NORMAL
10,22.8,0.23,10.1,18.7,98.4,0.056,NORMAL,0.021505376344086072,0.0,0.0543046357615894,12.758100121056755,B_entrega,0.0,APAGADO,NORMAL
15,23.5,0.32,13.5,18.6,97.6,0.083,NORMAL,0.04659498207885307,0.0391304347826087,0.09933774834437085,14.007153391188762,B_entrega,0.0,APAGADO,NORMAL
20,22.3,0.35,7.3,18.2,98.7,0.06,NORMAL,0.0035842293906810543,0.05217391304347825,0.017218543046357615,12.938462506979082,B_entrega,0.0,APAGADO,NORMAL
25,22.4,0.29,8.3,17.6,97.2,0.054,NORMAL,0.007168458781361981,0.02608695652173912,0.030463576158940405,12.741537740707372,B_entrega,0.0,APAGADO,NORMAL
30,23.8,0.34,9.9,17.1,95.4,0.083,NORMAL,0.057347670250896106,0.04782608695652175,0.05165562913907285,13.759598211290992,B_entrega,0.0,APAGADO,NORMAL
35,23.3,0.33,8.9,18.0,96.3,0.073,NORMAL,0.039426523297491085,0.04347826086956522,0.03841059602649007,13.387066845413724,B_entrega,0.0,APAGADO,NORMAL
40,22.6,0.3,7.1,19.1,96.5,0.055,NORMAL,0.014336917562724089,0.030434782608695646,0.014569536423841055,12.71515149638739,B_entrega,0.0,APAGADO,NORMAL
45,23.4,0.35,10.7,18.6,95.1,0.081,NORMAL,0.04301075268817201,0.05217391304347825,0.06225165562913906,13.783058865781806,B_entrega,0.0,APAGADO,NORMAL
50,22.8,0.41,8.8,17.5,92.7,0.078,NORMAL,0.021505376344086072,0.07826086956521738,0.0370860927152318,13.681566864506221,B_entrega,0.0,APAGADO,NORMAL
55,23.0,0.36,12.3,18.7,92.8,0.08,NORMAL,0.028673835125448053,0.056521739130434775,0.08344370860927153,13.912479785173282,B_entrega,0.0,APAGADO,NORMAL
