tempo_min,temperatura_C,radiacao_uSv_h,poeira_pct,consumo_W,bateria_pct,indice_risco_real,condicao_real
0,22.6,0.27,11.5,18.5,99.1,0.06,NORMAL
5,22.2,0.23,6.0,18.0,99.1,0.04,NORMAL
10,22.8,0.23,10.1,18.7,98.4,0.056,NORMAL
15,23.5,0.32,13.5,18.6,97.6,0.083,NORMAL
20,22.3,0.35,7.3,18.2,98.7,0.06,NORMAL
25,22.4,0.29,8.3,17.6,97.2,0.054,NORMAL
30,23.8,0.34,9.9,17.1,95.4,0.083,NORMAL
35,23.3,0.33,8.9,18.0,96.3,0.073,NORMAL
40,22.6,0.3,7.1,19.1,96.5,0.055,NORMAL
45,23.4,0.35,10.7,18.6,95.1,0.081,NORMAL
50,22.8,0.41,8.8,17.5,92.7,0.078,NORMAL
55,23.0,0.36,12.3,18.7,92.8,0.08,NORMAL
60,23.7,0.44,10.0,19.0,93.4,0.097,NORMAL
65,22.4,0.29,15.4,18.0,91.3,0.068,NORMAL
70,22.8,0.45,11.4,19.0,91.5,0.09,NORMAL
75,23.9,0.44,13.0,19.0,91.1,0.106,NORMAL
80,23.9,0.45,16.1,18.2,89.2,0.113,NORMAL
85,25.2,0.5,12.9,19.5,89.1,0.132,NORMAL
90,24.7,0.44,16.8,19.9,86.2,0.124,NORMAL
95,24.8,0.55,20.1,20.5,87.1,0.149,NORMAL
100,27.3,0.62,15.5,20.7,86.9,0.182,NORMAL
105,26.7,0.7,20.4,19.0,85.5,0.197,NORMAL
110,27.5,0.67,22.1,19.6,86.8,0.206,NORMAL
115,27.1,0.72,24.7,21.0,83.9,0.214,NORMAL
120,28.4,0.79,22.5,21.3,83.8,0.237,NORMAL
125,29.6,0.91,24.2,21.6,83.5,0.274,NORMAL
130,29.5,0.95,29.9,24.7,83.6,0.291,NORMAL
135,31.5,0.98,31.6,22.4,80.8,0.325,NORMAL
140,31.7,1.1,33.8,23.2,81.8,0.35,NORMAL
145,32.8,1.16,36.3,23.5,80.2,0.379,NORMAL
150,33.6,1.28,36.7,23.7,78.7,0.408,NORMAL
155,36.3,1.29,41.0,23.3,78.9,0.453,ATENCAO
160,36.0,1.39,43.6,24.6,77.9,0.47,ATENCAO
165,36.3,1.47,44.1,23.8,76.6,0.488,ATENCAO
170,38.6,1.5,51.7,24.7,76.2,0.537,ATENCAO
175,38.1,1.65,51.3,24.9,75.1,0.553,ATENCAO
180,40.0,1.73,50.4,25.7,74.6,0.588,ATENCAO
185,39.4,1.79,56.3,27.9,74.2,0.602,ATENCAO
190,40.7,1.86,55.2,24.9,74.1,0.627,ATENCAO
195,42.6,1.87,60.7,27.3,71.3,0.664,ATENCAO
200,43.7,1.98,63.4,25.8,72.9,0.701,CRITICA
205,44.1,2.04,61.2,27.0,69.3,0.711,CRITICA
210,44.5,2.07,66.4,28.6,69.9,0.731,CRITICA
215,45.0,2.15,66.8,28.0,69.6,0.751,CRITICA
220,44.7,2.22,69.0,27.3,68.7,0.762,CRITICA
225,45.7,2.31,72.3,27.8,67.4,0.795,CRITICA
230,46.3,2.28,69.2,29.1,67.0,0.792,CRITICA
235,47.8,2.32,69.1,28.2,66.1,0.818,CRITICA
240,47.7,2.33,69.8,29.1,65.3,0.819,CRITICA
245,46.5,2.29,70.7,29.1,65.7,0.799,CRITICA
250,48.2,2.39,72.9,28.6,64.7,0.841,CRITICA
255,48.0,2.41,74.3,31.0,63.3,0.845,CRITICA
260,48.0,2.52,74.8,29.9,63.8,0.86,CRITICA
265,49.1,2.43,76.3,27.8,62.7,0.866,CRITICA
270,49.6,2.47,75.1,29.7,62.4,0.876,CRITICA
275,49.6,2.47,78.4,29.0,61.7,0.883,CRITICA
280,48.5,2.43,75.3,30.3,60.0,0.856,CRITICA
285,49.0,2.53,81.5,29.0,59.6,0.886,CRITICA
290,49.6,2.53,77.6,29.6,59.9,0.886,CRITICA
295,50.1,2.53,74.8,30.2,59.2,0.887,CRITICA
300,49.2,2.47,74.6,30.5,58.1,0.87,CRITICA
