timestamp,temp_C,tensao_V,pressao_kPa,rpm_giro
2026-05-01 00:00:00,20.02,27.77,100.96,5013.0
2026-05-01 00:00:01,21.27,27.75,101.44,4914.0
2026-05-01 00:00:02,22.63,28.53,100.7,4964.0
2026-05-01 00:00:03,21.85,28.13,100.59,5039.0
2026-05-01 00:00:04,21.02,27.92,101.09,4986.0
2026-05-01 00:00:05,20.99,28.2,99.08,4974.0
2026-05-01 00:00:06,20.93,27.16,101.48,5070.0
2026-05-01 00:00:07,20.68,27.98,101.0,4948.0
2026-05-01 00:00:08,25.42,28.8,101.04,4960.0
2026-05-01 00:00:09,22.45,28.05,101.96,5011.0
2026-05-01 00:00:10,23.33,28.03,99.05,5020.0
2026-05-01 00:00:11,21.27,28.22,99.03,5025.0
2026-05-01 00:00:12,21.72,28.36,101.27,5046.0
2026-05-01 00:00:13,20.93,27.2,100.99,5010.0
2026-05-01 00:00:14,18.02,27.33,101.17,5024.0
2026-05-01 00:00:15,19.93,28.08,100.54,4987.0
2026-05-01 00:00:16,19.28,27.71,101.66,5003.0
2026-05-01 00:00:17,18.63,28.52,101.93,5005.0
2026-05-01 00:00:18,20.21,27.87,101.48,5011.0
2026-05-01 00:00:19,23.99,27.23,100.74,5039.0
2026-05-01 00:00:20,21.93,27.49,98.89,5028.0
2026-05-01 00:00:21,23.94,26.9,101.77,5002.0
2026-05-01 00:00:22,22.62,27.91,102.22,4960.0
2026-05-01 00:00:23,23.17,27.92,101.64,5003.0
2026-05-01 00:00:24,20.65,27.83,100.12,4999.0
2026-05-01 00:00:25,22.79,28.43,101.67,5010.0
2026-05-01 00:00:26,23.09,28.48,101.86,5110.0
2026-05-01 00:00:27,21.14,27.93,102.56,4974.0
2026-05-01 00:00:28,22.84,27.15,100.12,5021.0
2026-05-01 00:00:29,22.85,28.25,100.77,5053.0
2026-05-01 00:00:30,21.18,28.22,101.75,5005.0
2026-05-01 00:00:31,20.32,28.12,101.06,5117.0
2026-05-01 00:00:32,20.22,28.39,99.88,4981.0
2026-05-01 00:00:33,22.13,27.53,101.41,5016.0
2026-05-01 00:00:34,22.49,28.8,101.58,4960.0
2026-05-01 00:00:35,20.81,27.62,101.09,4982.0
2026-05-01 00:00:36,22.04,28.3,101.22,5012.0
2026-05-01 00:00:37,22.86,27.33,100.74,5042.0
2026-05-01 00:00:38,22.93,27.63,102.48,5016.0
2026-05-01 00:00:39,24.33,28.61,100.1,5063.0
2026-05-01 00:00:40,23.92,27.9,100.41,4995.0
2026-05-01 00:00:41,20.5,28.34,101.01,4983.0
2026-05-01 00:00:42,24.53,28.09,101.88,5135.0
2026-05-01 00:00:43,21.2,27.96,99.5,5020.0
2026-05-01 00:00:44,23.57,28.55,99.69,4964.0
2026-05-01 00:00:45,22.1,27.91,98.96,4965.0
2026-05-01 00:00:46,21.38,27.29,101.03,4953.0
2026-05-01 00:00:47,19.29,27.68,99.88,5047.0
2026-05-01 00:00:48,21.74,28.22,100.62,4982.0
2026-05-01 00:00:49,19.66,28.16,101.66,5006.0
2026-05-01 00:00:50,95.0,27.37,100.36,4997.0
2026-05-01 00:00:51,24.28,27.71,101.23,5037.0
2026-05-01 00:00:52,20.8,27.77,100.7,4958.0
2026-05-01 00:00:53,22.45,27.85,101.67,4946.0
2026-05-01 00:00:54,20.91,27.45,101.48,5011.0
2026-05-01 00:00:55,21.06,27.75,100.31,5030.0
2026-05-01 00:00:56,23.16,27.71,100.83,5017.0
2026-05-01 00:00:57,21.94,28.31,102.04,4960.0
2026-05-01 00:00:58,24.61,28.32,101.39,5034.0
2026-05-01 00:00:59,21.28,27.94,99.6,4963.0
2026-05-01 00:01:00,23.5,27.84,101.66,4974.0
2026-05-01 00:01:01,22.15,28.06,99.92,4953.0
2026-05-01 00:01:02,23.19,27.67,102.41,5065.0
2026-05-01 00:01:03,21.33,27.54,102.02,5032.0
2026-05-01 00:01:04,21.93,27.62,101.29,5030.0
2026-05-01 00:01:05,21.83,27.75,101.16,5062.0
2026-05-01 00:01:06,20.75,27.53,100.79,5141.0
2026-05-01 00:01:07,22.99,28.06,101.68,4915.0
2026-05-01 00:01:08,22.98,28.29,100.63,4963.0
2026-05-01 00:01:09,22.89,27.37,101.24,4969.0
2026-05-01 00:01:10,24.31,28.01,101.87,4957.0
2026-05-01 00:01:11,24.17,27.91,100.44,4946.0
2026-05-01 00:01:12,21.44,28.14,100.38,4985.0
2026-05-01 00:01:13,22.56,27.99,99.81,4939.0
2026-05-01 00:01:14,21.06,27.42,99.94,5017.0
2026-05-01 00:01:15,22.04,27.5,99.17,5003.0
2026-05-01 00:01:16,21.1,28.01,101.73,5024.0
2026-05-01 00:01:17,24.43,28.41,102.81,5025.0
2026-05-01 00:01:18,22.55,27.11,102.43,5030.0
2026-05-01 00:01:19,21.67,28.14,99.37,4981.0
2026-05-01 00:01:20,23.79,28.48,101.72,5106.0
2026-05-01 00:01:21,18.74,27.94,102.42,5012.0
2026-05-01 00:01:22,18.98,28.22,100.54,4907.0
2026-05-01 00:01:23,23.19,27.72,101.1,4950.0
2026-05-01 00:01:24,22.09,27.95,98.99,4913.0
2026-05-01 00:01:25,22.38,27.35,101.27,5001.0
2026-05-01 00:01:26,20.01,27.06,99.94,4994.0
2026-05-01 00:01:27,21.97,28.38,101.2,4977.0
2026-05-01 00:01:28,25.01,27.61,99.44,5101.0
2026-05-01 00:01:29,23.24,27.82,101.54,5027.0
2026-05-01 00:01:30,22.25,27.45,102.02,5036.0
2026-05-01 00:01:31,21.34,27.44,100.22,4953.0
2026-05-01 00:01:32,21.41,27.93,99.86,4950.0
2026-05-01 00:01:33,18.81,27.71,98.84,5002.0
2026-05-01 00:01:34,22.39,28.15,100.73,5009.0
2026-05-01 00:01:35,23.27,28.18,100.42,4907.0
2026-05-01 00:01:36,19.64,28.13,99.45,4991.0
2026-05-01 00:01:37,21.01,28.1,101.45,5001.0
2026-05-01 00:01:38,20.26,28.63,100.55,4989.0
2026-05-01 00:01:39,20.55,27.57,99.92,4959.0
2026-05-01 00:01:40,22.08,27.98,100.45,4973.0
2026-05-01 00:01:41,18.87,28.45,102.07,4991.0
2026-05-01 00:01:42,22.92,28.51,101.6,5005.0
2026-05-01 00:01:43,23.13,27.43,100.87,5030.0
2026-05-01 00:01:44,21.62,27.88,101.62,5054.0
2026-05-01 00:01:45,18.28,28.54,99.84,4985.0
2026-05-01 00:01:46,20.51,28.2,101.03,4977.0
2026-05-01 00:01:47,23.85,28.08,101.15,5022.0
2026-05-01 00:01:48,17.83,27.91,100.53,5031.0
2026-05-01 00:01:49,21.48,27.85,101.44,4978.0
2026-05-01 00:01:50,20.23,28.12,100.22,5040.0
2026-05-01 00:01:51,23.21,27.9,101.51,5049.0
2026-05-01 00:01:52,20.99,27.98,101.55,5065.0
2026-05-01 00:01:53,22.61,28.03,98.08,5089.0
2026-05-01 00:01:54,22.85,27.73,102.19,4957.0
2026-05-01 00:01:55,24.75,28.21,97.95,5001.0
2026-05-01 00:01:56,21.7,29.17,100.38,5001.0
2026-05-01 00:01:57,22.56,27.29,102.03,4995.0
2026-05-01 00:01:58,19.77,28.13,100.68,4968.0
2026-05-01 00:01:59,23.79,27.7,99.53,4926.0
2026-05-01 00:02:00,95.0,28.23,99.91,5005.0
2026-05-01 00:02:01,21.16,28.02,102.03,4962.0
2026-05-01 00:02:02,21.97,28.3,99.08,5004.0
2026-05-01 00:02:03,19.66,28.47,102.13,4960.0
2026-05-01 00:02:04,22.34,28.08,100.94,4945.0
2026-05-01 00:02:05,23.45,28.45,99.81,5012.0
2026-05-01 00:02:06,22.44,27.06,100.42,5008.0
2026-05-01 00:02:07,19.62,28.64,99.98,5029.0
2026-05-01 00:02:08,21.81,28.15,101.87,5109.0
2026-05-01 00:02:09,23.11,28.43,101.73,5014.0
